school,team,region,source_id
合肥工业大学（宣城校区）,WDR,东部赛区,rmuc_2026_regional_teams
华东理工大学,起源,东部赛区,rmuc_2026_regional_teams
江南大学霞客湾校区,SHARK,东部赛区,rmuc_2026_regional_teams
江苏大学,Aurora,东部赛区,rmuc_2026_regional_teams
南方科技大学,ARTINX,东部赛区,rmuc_2026_regional_teams
南京航空航天大学金城学院,Born of Fire,东部赛区,rmuc_2026_regional_teams
南京理工大学,Alliance,东部赛区,rmuc_2026_regional_teams
南京理工大学江阴校区,Combat,东部赛区,rmuc_2026_regional_teams
齐鲁工业大学,Adam,东部赛区,rmuc_2026_regional_teams
青岛大学,未来,东部赛区,rmuc_2026_regional_teams
山东科技大学,SmartRobot,东部赛区,rmuc_2026_regional_teams
上海大学,SRM,东部赛区,rmuc_2026_regional_teams
上海工程技术大学,木鸢Birdiebot,东部赛区,rmuc_2026_regional_teams
首都师范大学,PIE,东部赛区,rmuc_2026_regional_teams
太原科技大学,NewMaker,东部赛区,rmuc_2026_regional_teams
西南交通大学,Helios,东部赛区,rmuc_2026_regional_teams
浙江大学,Hello World,东部赛区,rmuc_2026_regional_teams
中北大学,606,东部赛区,rmuc_2026_regional_teams
中国科学技术大学,RoboWalker,东部赛区,rmuc_2026_regional_teams
中国矿业大学,CUBOT,东部赛区,rmuc_2026_regional_teams
中国石油大学（北京）,SPR,东部赛区,rmuc_2026_regional_teams
中国石油大学（华东）,RPS,东部赛区,rmuc_2026_regional_teams
北方工业大学,DreamTeam,北部赛区,rmuc_2026_regional_teams
北京理工大学,追梦,北部赛区,rmuc_2026_regional_teams
北京信息科技大学,星辰,北部赛区,rmuc_2026_regional_teams
常州大学,Climber,北部赛区,rmuc_2026_regional_teams
成都信息工程大学,风信子,北部赛区,rmuc_2026_regional_teams
大连理工大学,凌BUG,北部赛区,rmuc_2026_regional_teams
东北大学,TDT,北部赛区,rmuc_2026_regional_teams
东北大学秦皇岛分校,征龙凌沧,北部赛区,rmuc_2026_regional_teams
复旦大学,星云EGA,北部赛区,rmuc_2026_regional_teams
哈尔滨工程大学,创梦之翼,北部赛区,rmuc_2026_regional_teams
哈尔滨工业大学,I Hiter,北部赛区,rmuc_2026_regional_teams
哈尔滨工业大学（威海）,HERO,北部赛区,rmuc_2026_regional_teams
河北科技大学,Actor&Thinker,北部赛区,rmuc_2026_regional_teams
华北科技学院,风暴,北部赛区,rmuc_2026_regional_teams
华北理工大学,Horizon,北部赛区,rmuc_2026_regional_teams
华南师范大学,PIONEER,北部赛区,rmuc_2026_regional_teams
吉林大学,TARS Go,北部赛区,rmuc_2026_regional_teams
辽宁石油化工大学,TCN,北部赛区,rmuc_2026_regional_teams
内蒙古科技大学,雷霆,北部赛区,rmuc_2026_regional_teams
山东理工大学,齐奇,北部赛区,rmuc_2026_regional_teams
沈阳理工大学,Ambition,北部赛区,rmuc_2026_regional_teams
四川大学,火锅,北部赛区,rmuc_2026_regional_teams
太原工业学院,火线,北部赛区,rmuc_2026_regional_teams
天津大学,北洋机甲,北部赛区,rmuc_2026_regional_teams
同济大学,SuperPower,北部赛区,rmuc_2026_regional_teams
西安电子科技大学,IRobot,北部赛区,rmuc_2026_regional_teams
西安交通大学,笃行,北部赛区,rmuc_2026_regional_teams
西北工业大学,WMJ,北部赛区,rmuc_2026_regional_teams
香港大学,HerKules,北部赛区,rmuc_2026_regional_teams
香港科技大学,ENTERPRIZE,北部赛区,rmuc_2026_regional_teams
香港科技大学（广州）,PnX,北部赛区,rmuc_2026_regional_teams
长安大学,VGD,北部赛区,rmuc_2026_regional_teams

