match_id,year,stage,region,round,match_no,team_a,team_b,winner,score_a,score_b,source_url,confidence,source_id,notes
rmuc_2025_central_024,2025,区域赛,中部赛区,A组第2轮,24,成都大学 Ultra,哈尔滨工业大学 I Hiter,哈尔滨工业大学 I Hiter,0,2,https://bbs.robomaster.com/article/25006,0.78,rm_community_results_2015_2025,tencent_sheet_row=2909;label_source_post_event=2025-06-05;feature_cutoff=2025-05-20;red_school=成都大学;red_team=Ultra;blue_school=哈尔滨工业大学;blue_team=I Hiter
rmuc_2025_central_025,2025,区域赛,中部赛区,B组第2轮,25,西安电子科技大学 IRobot,南京航空航天大学金城学院 Born of Fire,南京航空航天大学金城学院 Born of Fire,1,2,https://bbs.robomaster.com/article/25006,0.78,rm_community_results_2015_2025,tencent_sheet_row=2910;label_source_post_event=2025-06-05;feature_cutoff=2025-05-20;red_school=西安电子科技大学;red_team=IRobot;blue_school=南京航空航天大学金城学院;blue_team=Born of Fire
rmuc_2025_central_026,2025,区域赛,中部赛区,B组第2轮,26,上海交通大学 交龙,华东理工大学 起源,上海交通大学 交龙,2,0,https://bbs.robomaster.com/article/25006,0.78,rm_community_results_2015_2025,tencent_sheet_row=2911;label_source_post_event=2025-06-05;feature_cutoff=2025-05-20;red_school=上海交通大学;red_team=交龙;blue_school=华东理工大学;blue_team=起源
rmuc_2025_central_027,2025,区域赛,中部赛区,B组第2轮,27,安徽信息工程学院 Artisans,中南大学 FYT,中南大学 FYT,1,2,https://bbs.robomaster.com/article/25006,0.78,rm_community_results_2015_2025,tencent_sheet_row=2912;label_source_post_event=2025-06-05;feature_cutoff=2025-05-20;red_school=安徽信息工程学院;red_team=Artisans;blue_school=中南大学;blue_team=FYT
rmuc_2025_central_028,2025,区域赛,中部赛区,B组第2轮,28,中国科学技术大学 RoboWalker,河北科技大学 Actor&Thinker,中国科学技术大学 RoboWalker,2,0,https://bbs.robomaster.com/article/25006,0.78,rm_community_results_2015_2025,tencent_sheet_row=2913;label_source_post_event=2025-06-05;feature_cutoff=2025-05-20;red_school=中国科学技术大学;red_team=RoboWalker;blue_school=河北科技大学;blue_team=Actor&Thinker
rmuc_2025_central_029,2025,区域赛,中部赛区,B组第2轮,29,南昌大学 Passion,四川大学 火锅,南昌大学 Passion,2,0,https://bbs.robomaster.com/article/25006,0.78,rm_community_results_2015_2025,tencent_sheet_row=2914;label_source_post_event=2025-06-05;feature_cutoff=2025-05-20;red_school=南昌大学;red_team=Passion;blue_school=四川大学;blue_team=火锅
rmuc_2025_central_030,2025,区域赛,中部赛区,B组第2轮,30,长安大学 VGD,重庆大学 千里,长安大学 VGD,2,1,https://bbs.robomaster.com/article/25006,0.78,rm_community_results_2015_2025,tencent_sheet_row=2915;label_source_post_event=2025-06-05;feature_cutoff=2025-05-20;red_school=长安大学;red_team=VGD;blue_school=重庆大学;blue_team=千里
rmuc_2025_central_031,2025,区域赛,中部赛区,B组第2轮,31,西北工业大学 WMJ,重庆理工大学 士继DREAMER,西北工业大学 WMJ,2,0,https://bbs.robomaster.com/article/25006,0.78,rm_community_results_2015_2025,tencent_sheet_row=2916;label_source_post_event=2025-06-05;feature_cutoff=2025-05-20;red_school=西北工业大学;red_team=WMJ;blue_school=重庆理工大学;blue_team=士继DREAMER
rmuc_2025_central_032,2025,区域赛,中部赛区,B组第2轮,32,西南交通大学 Helios,沈阳航空航天大学 TUP,西南交通大学 Helios,2,0,https://bbs.robomaster.com/article/25006,0.78,rm_community_results_2015_2025,tencent_sheet_row=2917;label_source_post_event=2025-06-05;feature_cutoff=2025-05-20;red_school=西南交通大学;red_team=Helios;blue_school=沈阳航空航天大学;blue_team=TUP
rmuc_2025_central_033,2025,区域赛,中部赛区,A组第3轮,33,哈尔滨工程大学 创梦之翼,武汉工程大学 Nautilus,哈尔滨工程大学 创梦之翼,2,1,https://bbs.robomaster.com/article/25006,0.78,rm_community_results_2015_2025,tencent_sheet_row=2918;label_source_post_event=2025-06-05;feature_cutoff=2025-05-20;red_school=哈尔滨工程大学;red_team=创梦之翼;blue_school=武汉工程大学;blue_team=Nautilus
